Variable_Name,Information_Value,Random_Forest,Recursive_Feature_Elimination,Extra_Trees,Chi_Square,L_One,Votes
IP_ttl,1,1,1,1,1,1,6
UDP_dport,1,1,1,1,1,1,6
IP_flags,1,1,1,1,1,1,6
BOOTP_xid,1,1,1,1,1,1,6
TCP_ack,1,1,1,1,1,1,6
TCP_chksum,1,1,1,1,1,1,6
Ether_type,1,1,1,1,1,1,6
TCP_dport,1,1,1,1,1,1,6
payload_bytes,1,1,1,1,1,1,6
EAPOL_len,1,1,1,1,1,1,6
TCP_seq,1,1,1,1,1,1,6
UDP_len,1,1,1,1,1,1,6
UDP_sport,1,1,1,1,1,1,6
TCP_window,1,1,1,1,1,1,6
UDP_chksum,1,1,1,1,1,1,6
IP_proto,1,1,1,1,1,1,6
IP_DF,1,1,1,1,1,1,6
IP_len,1,1,1,1,1,1,6
pck_size,1,1,1,1,1,1,6
TCP_dataofs,1,1,1,1,1,1,6
TCP_sport,1,1,1,1,1,1,6
IP_id,1,1,1,1,1,1,6
EAPOL_version,1,1,0,1,1,1,5
IP_ihl,1,1,1,1,0,1,5
TCP_ACK,1,1,0,1,1,1,5
BOOTP_hlen,1,0,1,1,1,1,5
BOOTP_file,1,1,0,1,1,1,5
EAPOL_type,1,1,0,1,1,1,5
sport,1,1,1,1,0,1,5
IP_version,1,1,1,1,0,1,5
entropy,1,1,1,1,0,1,5
TCP_options,1,1,0,1,1,1,5
dport_class,1,1,1,1,0,1,5
dport,1,1,1,1,0,1,5
sport_class,1,1,1,1,0,1,5
BOOTP_flags,1,1,1,0,1,1,5
DNS_qr,0,1,1,1,1,0,4
DNS_aa,0,1,1,1,1,0,4
Protocol,0,1,1,1,0,1,4
DNS_rd,1,1,0,1,1,0,4
TCP_flags,0,1,1,1,1,0,4
DHCP_options,1,0,0,1,1,1,4
BOOTP_htype,1,1,0,0,1,1,4
BOOTP_sname,1,1,0,0,1,1,4
BOOTP_op,1,1,0,0,1,1,4
TCP_PSH,1,0,0,1,1,0,3
BOOTP_options,1,0,0,0,1,1,3
DNS_ancount,0,0,1,1,1,0,3
DNS_id,0,1,1,0,0,1,3
DNS_nscount,0,0,1,1,1,0,3
DNS_qdcount,0,1,1,1,0,0,3
IP_tos,0,0,1,0,1,0,2
ICMP_chksum,0,0,1,0,0,1,2
IP_options,0,0,1,0,1,0,2
TCP_FIN,1,0,0,0,1,0,2
TCP_SYN,1,0,0,0,1,0,2
LLC_ctrl,0,0,1,0,0,1,2
ICMP_id,0,0,1,0,0,0,1
ICMP_type,0,0,1,0,0,0,1
TCP_ECE,0,0,0,0,0,0,0
ICMP_reserved,0,0,0,0,0,0,0
ICMP_nexthopmtu,0,0,0,0,0,0,0
LLC_dsap,0,0,0,0,0,0,0
DNS_ra,0,0,0,0,0,0,0
DNS_rcode,0,0,0,0,0,0,0
DNS_tc,0,0,0,0,0,0,0
TCP_URG,0,0,0,0,0,0,0
DNS_opcode,0,0,0,0,0,0,0
DNS_z,0,0,0,0,0,0,0
IP_Z,0,0,0,0,0,0,0
ICMP_unused,0,0,0,0,0,0,0
ICMP_ts_tx,0,0,0,0,0,0,0
ICMP_ts_rx,0,0,0,0,0,0,0
ICMP_ts_ori,0,0,0,0,0,0,0
DNS_cd,0,0,0,0,0,0,0
ICMP_ptr,0,0,0,0,0,0,0
IP_frag,0,0,0,0,0,0,0
DNS_length,0,0,0,0,0,0,0
TCP_CWR,0,0,0,0,0,0,0
ICMP_length,0,0,0,0,0,0,0
BOOTP_hops,0,0,0,0,0,0,0
BOOTP_secs,0,0,0,0,0,0,0
TCP_reserved,0,0,0,0,0,0,0
DNS_ad,0,0,0,0,0,0,0
TCP_urgptr,0,0,0,0,0,0,0
ICMP_code,0,0,0,0,0,0,0
LLC_ssap,0,0,0,0,0,0,0
DNS_arcount,0,0,0,0,0,0,0
ICMP_seq,0,0,0,0,0,0,0
TCP_RST,0,0,0,0,0,0,0
IP_MF,0,0,0,0,0,0,0
